bucketStartMillis,count,throughputMsgPerSec
1772739440000,3820,382.0
1772739450000,20721,2072.1
1772739460000,12009,1200.9
1772739470000,9802,980.2
1772739480000,7096,709.6
1772739490000,7320,732.0
1772739500000,6324,632.4
1772739510000,6906,690.6
1772739520000,8259,825.9
1772739530000,9102,910.2
1772739540000,7134,713.4
1772739550000,8667,866.7
1772739560000,8459,845.9
1772739570000,7673,767.3
1772739580000,8134,813.4
1772739590000,8003,800.3
1772739600000,6442,644.2
1772739610000,7959,795.9
1772739620000,8414,841.4
1772739630000,8277,827.7
1772739640000,8369,836.9
1772739650000,8130,813.0
1772739660000,7092,709.2
1772739670000,8191,819.1
1772739680000,8433,843.3
1772739690000,8088,808.8
1772739700000,8961,896.1
1772739710000,7453,745.3
1772739720000,6014,601.4
1772739730000,8359,835.9
1772739740000,8019,801.9
1772739750000,7810,781.0
1772739760000,8485,848.5
1772739770000,8577,857.7
1772739780000,6987,698.7
1772739790000,8487,848.7
1772739800000,8617,861.7
1772739810000,7567,756.7
1772739820000,7806,780.6
1772739830000,8402,840.2
1772739840000,7962,796.2
1772739850000,6852,685.2
1772739860000,8198,819.8
1772739870000,7735,773.5
1772739880000,8096,809.6
1772739890000,8273,827.3
1772739900000,6405,640.5
1772739910000,8315,831.5
1772739920000,8007,800.7
1772739930000,7772,777.2
1772739940000,8761,876.1
1772739950000,8393,839.3
1772739960000,6958,695.8
1772739970000,8355,835.5
1772739980000,8257,825.7
1772739990000,8243,824.3
1772740000000,8083,808.3
1772740010000,8230,823.0
1772740020000,6599,659.9
1772740030000,8310,831.0
1772740040000,7850,785.0
1772740050000,3978,397.8
