timestamp,messageType,latencyMs,statusCode,roomId
1772693953385,JOIN,812,OK,9
1772693953325,JOIN,872,OK,19
1772693953356,JOIN,841,OK,3
1772693953371,JOIN,826,OK,4
1772693953325,JOIN,872,OK,19
1772693953363,JOIN,834,OK,3
1772693953315,JOIN,882,OK,1
1772693953363,JOIN,834,OK,12
1772693953390,JOIN,808,OK,3
1772693953310,JOIN,888,OK,12
1772693953375,JOIN,822,OK,9
1772693953325,JOIN,873,OK,12
1772693953353,JOIN,844,OK,12
1772693953371,JOIN,827,OK,1
1772693953326,JOIN,872,OK,19
1772693953385,JOIN,813,OK,12
1772693954198,JOIN,0,OK,20
1772693953325,JOIN,873,OK,4
1772693953326,JOIN,872,OK,10
1772693953368,JOIN,829,OK,1
1772693953315,JOIN,882,OK,10
1772693953320,JOIN,878,OK,10
1772693953310,JOIN,888,OK,2
1772693953390,JOIN,808,OK,3
1772693953390,JOIN,808,OK,13
1772693953325,JOIN,871,OK,13
1772693953320,JOIN,878,OK,4
1772693953363,JOIN,835,OK,2
1772693953390,JOIN,808,OK,3
1772693953347,JOIN,851,OK,2
1772693953385,JOIN,813,OK,2
1772693953315,JOIN,882,OK,9
1772693953363,JOIN,835,OK,9
1772693953394,JOIN,804,OK,20
1772693953319,JOIN,879,OK,10
1772693953347,JOIN,852,OK,20
1772693953347,JOIN,851,OK,9
1772693953362,JOIN,836,OK,2
1772693954199,JOIN,0,OK,6
1772693953369,JOIN,830,OK,9
1772693953385,JOIN,813,OK,19
1772693954199,JOIN,0,OK,12
1772693953316,JOIN,883,OK,4
1772693953362,JOIN,836,OK,2
1772693953349,JOIN,850,OK,19
1772693953363,JOIN,835,OK,12
1772693953394,JOIN,805,OK,19
1772693953316,JOIN,883,OK,2
1772693953390,JOIN,809,OK,4
1772693953385,JOIN,814,OK,20
1772693953368,JOIN,831,OK,20
1772693953315,JOIN,882,OK,9
1772693953369,JOIN,830,OK,20
1772693954198,JOIN,1,OK,3
1772693953394,JOIN,805,OK,20
1772693953390,JOIN,809,OK,2
1772693953385,JOIN,814,OK,2
1772693953353,JOIN,846,OK,4
1772693953390,JOIN,809,OK,19
1772693953390,JOIN,810,OK,20
1772693953363,JOIN,837,OK,2
1772693954198,JOIN,2,OK,8
1772693953343,JOIN,857,OK,15
1772693953385,JOIN,814,OK,4
1772693953369,JOIN,831,OK,15
1772693953390,JOIN,810,OK,15
1772693953394,JOIN,805,OK,15
1772693953315,JOIN,885,OK,12
1772693954198,JOIN,2,OK,14
1772693953326,JOIN,874,OK,1
1772693954198,JOIN,2,OK,9
1772693954199,JOIN,1,OK,7
1772693953315,JOIN,885,OK,2
1772693953353,JOIN,847,OK,2
1772693953384,JOIN,816,OK,17
1772693953325,JOIN,875,OK,13
1772693954200,JOIN,0,OK,13
1772693954199,JOIN,1,OK,16
1772693954201,JOIN,0,OK,3
1772693953346,JOIN,854,OK,7
1772693953324,JOIN,876,OK,5
1772693953390,JOIN,810,OK,7
1772693954198,JOIN,2,OK,7
1772693953394,JOIN,807,OK,17
1772693953325,JOIN,875,OK,17
1772693953385,JOIN,816,OK,5
1772693954199,JOIN,2,OK,7
1772693953389,JOIN,811,OK,13
1772693954199,JOIN,2,OK,6
1772693954201,JOIN,0,OK,20
1772693954199,JOIN,1,OK,18
1772693954199,JOIN,2,OK,6
1772693953363,JOIN,838,OK,7
1772693953346,JOIN,854,OK,7
1772693954200,JOIN,1,OK,1
1772693953336,JOIN,865,OK,17
1772693953363,JOIN,838,OK,5
1772693953324,JOIN,877,OK,5
1772693954200,JOIN,1,OK,4
1772693954198,JOIN,3,OK,2
1772693954201,JOIN,1,OK,6
1772693954199,JOIN,2,OK,7
