bucketStartMillis,count,throughputMsgPerSec
1772746470000,16528,1652.8
1772746480000,54463,5446.3
1772746490000,45063,4506.3
1772746500000,32145,3214.5
1772746510000,34788,3478.8
1772746520000,27523,2752.3
1772746530000,22104,2210.4
1772746540000,24259,2425.9
1772746550000,29815,2981.5
1772746560000,25970,2597.0
1772746570000,30520,3052.0
1772746580000,32288,3228.8
1772746590000,31146,3114.6
1772746600000,29437,2943.7
1772746610000,30353,3035.3
1772746620000,26352,2635.2
1772746630000,7246,724.6
