bucketStartMillis,count,throughputMsgPerSec
1772694790000,4617,461.7
1772694800000,18782,1878.2
1772694810000,13347,1334.7
1772694820000,9625,962.5
1772694830000,7951,795.1
1772694840000,5556,555.6
1772694850000,5974,597.4
1772694860000,6964,696.4
1772694870000,8521,852.1
1772694880000,9056,905.6
1772694890000,8234,823.4
1772694900000,6444,644.4
1772694910000,8286,828.6
1772694920000,7768,776.8
1772694930000,8278,827.8
1772694940000,8477,847.7
1772694950000,7956,795.6
1772694960000,7312,731.2
1772694970000,8082,808.2
1772694980000,7929,792.9
1772694990000,8966,896.6
1772695000000,9318,931.8
1772695010000,7066,706.6
1772695020000,7693,769.3
1772695030000,7713,771.3
1772695040000,7769,776.9
1772695050000,8060,806.0
1772695060000,7972,797.2
1772695070000,7960,796.0
1772695080000,6795,679.5
1772695090000,8012,801.2
1772695100000,7807,780.7
1772695110000,8884,888.4
1772695120000,8283,828.3
1772695130000,7962,796.2
1772695140000,7393,739.3
1772695150000,8120,812.0
1772695160000,7485,748.5
1772695170000,8259,825.9
1772695180000,8462,846.2
1772695190000,7471,747.1
1772695200000,6262,626.2
1772695210000,8179,817.9
1772695220000,8348,834.8
1772695230000,7706,770.6
1772695240000,5375,537.5
1772695270000,9080,908.0
1772695280000,11196,1119.6
1772695290000,10886,1088.6
1772695300000,10555,1055.5
1772695310000,8696,869.6
1772695320000,6949,694.9
1772695330000,6650,665.0
1772695340000,6271,627.1
1772695350000,7751,775.1
1772695360000,8775,877.5
1772695370000,8681,868.1
1772695380000,7712,771.2
1772695390000,8752,875.2
1772695400000,7196,719.6
1772695410000,7613,761.3
1772695420000,758,75.8
