bucketStartMillis,count,throughputMsgPerSec
1772693090000,1312,131.2
1772693100000,23197,2319.7
1772693110000,23672,2367.2
1772693120000,10701,1070.1
1772693130000,4579,457.9
1772693140000,2916,291.6
1772693150000,1644,164.4
1772693160000,5648,564.8
1772693170000,9388,938.8
1772693180000,6632,663.2
1772693190000,7260,726.0
1772693200000,12488,1248.8
1772693210000,17718,1771.8
1772693220000,15545,1554.5
1772693230000,12502,1250.2
1772693240000,10050,1005.0
1772693250000,17260,1726.0
1772693260000,15354,1535.4
1772693270000,11304,1130.4
1772693280000,11705,1170.5
1772693290000,8606,860.6
1772693300000,5842,584.2
1772693310000,7589,758.9
1772693320000,4731,473.1
1772693330000,3544,354.4
1772693340000,5822,582.2
1772693350000,4510,451.0
1772693360000,5146,514.6
1772693370000,6721,672.1
1772693380000,4813,481.3
1772693390000,5882,588.2
1772693400000,5989,598.9
1772693410000,7351,735.1
1772693420000,7421,742.1
1772693430000,8732,873.2
1772693440000,7611,761.1
1772693450000,8336,833.6
1772693460000,9376,937.6
1772693470000,9283,928.3
1772693480000,6170,617.0
1772693490000,7893,789.3
1772693500000,6709,670.9
1772693510000,6577,657.7
1772693520000,8294,829.4
1772693530000,9057,905.7
1772693540000,7059,705.9
1772693550000,8977,897.7
1772693560000,7903,790.3
1772693570000,5983,598.3
1772693580000,5965,596.5
1772693590000,5641,564.1
1772693600000,7040,704.0
1772693610000,8164,816.4
1772693620000,8499,849.9
1772693630000,8301,830.1
1772693640000,8072,807.2
1772693650000,8493,849.3
1772693660000,6586,658.6
1772693670000,7754,775.4
1772693680000,2436,243.6
1772693690000,6,0.6
1772693700000,2,0.2
