timestamp,messageType,latencyMs,statusCode,roomId
1772697378187,JOIN,62,OK,5
1772697378212,JOIN,37,OK,18
1772697378175,JOIN,74,OK,14
1772697378195,JOIN,54,OK,17
1772697378212,JOIN,37,OK,5
1772697378195,JOIN,54,OK,13
1772697378250,JOIN,1,OK,8
1772697378212,JOIN,39,OK,8
1772697378188,JOIN,64,OK,19
1772697378250,JOIN,1,OK,15
1772697378212,JOIN,40,OK,4
1772697378250,JOIN,1,OK,17
1772697378176,JOIN,76,OK,1
1772697378200,JOIN,59,OK,13
1772697378225,JOIN,34,OK,15
1772697378252,JOIN,7,OK,3
1772697378224,JOIN,34,OK,8
1772697378224,JOIN,34,OK,15
1772697378224,JOIN,35,OK,19
1772697378252,JOIN,7,OK,1
1772697378259,JOIN,0,OK,3
1772697378259,JOIN,0,OK,15
1772697378250,JOIN,13,OK,19
1772697378225,JOIN,38,OK,17
1772697378218,JOIN,50,OK,11
1772697378260,JOIN,13,OK,20
1772697378260,JOIN,13,OK,11
1772697378269,JOIN,6,OK,16
1772697378231,JOIN,44,OK,1
1772697378273,JOIN,3,OK,18
1772697378273,JOIN,3,OK,2
1772697378212,JOIN,65,OK,20
1772697378224,JOIN,53,OK,20
1772697378264,JOIN,13,OK,19
1772697378230,JOIN,47,OK,17
1772697378188,JOIN,88,OK,20
1772697378176,JOIN,101,OK,10
1772697378259,JOIN,18,OK,9
1772697378176,JOIN,101,OK,4
1772697378224,JOIN,55,OK,15
1772697378277,JOIN,2,OK,4
1772697378213,JOIN,67,OK,15
1772697378175,JOIN,104,OK,15
1772697378277,JOIN,2,OK,1
1772697378277,JOIN,2,OK,7
1772697378277,JOIN,2,OK,7
1772697378213,JOIN,67,OK,20
1772697378214,JOIN,65,OK,3
1772697378252,JOIN,27,OK,11
1772697378188,JOIN,92,OK,6
1772697378224,JOIN,56,OK,2
1772697378214,JOIN,66,OK,2
1772697378280,JOIN,2,OK,4
1772697378280,JOIN,2,OK,18
1772697378280,JOIN,2,OK,10
1772697378280,JOIN,2,OK,12
1772697378280,JOIN,2,OK,4
1772697378280,JOIN,2,OK,20
1772697378280,JOIN,2,OK,17
1772697378283,JOIN,5,OK,14
1772697378283,JOIN,5,OK,14
1772697378264,JOIN,24,OK,17
1772697378275,JOIN,12,OK,2
1772697378283,JOIN,5,OK,3
1772697378218,JOIN,69,OK,11
1772697378280,JOIN,7,OK,6
1772697378280,JOIN,7,OK,11
1772697378259,JOIN,28,OK,12
1772697378277,JOIN,10,OK,3
1772697378277,JOIN,10,OK,20
1772697378247,JOIN,40,OK,14
1772697378259,JOIN,28,OK,9
1772697378251,JOIN,37,OK,2
1772697378252,JOIN,35,OK,12
1772697378277,JOIN,10,OK,7
1772697378283,JOIN,5,OK,15
1772697378250,JOIN,37,OK,8
1772697378259,JOIN,28,OK,8
1772697378252,JOIN,36,OK,13
1772697378259,JOIN,28,OK,3
1772697378277,JOIN,11,OK,6
1772697378277,JOIN,12,OK,6
1772697378247,JOIN,42,OK,13
1772697378252,JOIN,37,OK,13
1772697378280,JOIN,9,OK,3
1772697378252,JOIN,37,OK,16
1772697378288,JOIN,1,OK,11
1772697378249,JOIN,40,OK,16
1772697378288,JOIN,1,OK,3
1772697378288,JOIN,1,OK,7
1772697378248,JOIN,42,OK,9
1772697378247,JOIN,42,OK,12
1772697378249,JOIN,40,OK,12
1772697378288,JOIN,1,OK,16
1772697378288,JOIN,1,OK,19
1772697378280,JOIN,12,OK,15
1772697378290,JOIN,2,OK,4
1772697378290,JOIN,2,OK,14
1772697378290,JOIN,2,OK,5
1772697378260,JOIN,32,OK,8
1772697378290,JOIN,2,OK,15
1772697378288,JOIN,4,OK,1
1772697378275,JOIN,20,OK,20
1772697378292,JOIN,3,OK,8
1772697378292,JOIN,3,OK,17
1772697378253,JOIN,42,OK,8
1772697378292,JOIN,3,OK,14
1772697378290,JOIN,6,OK,5
1772697378292,JOIN,3,OK,12
1772697378288,JOIN,7,OK,20
1772697378280,JOIN,15,OK,1
1772697378290,JOIN,6,OK,16
1772697378288,JOIN,7,OK,3
1772697378289,JOIN,6,OK,16
1772697378288,JOIN,7,OK,18
1772697378288,JOIN,7,OK,7
1772697378260,JOIN,35,OK,6
1772697378260,JOIN,35,OK,8
1772697378288,JOIN,8,OK,15
1772697378289,JOIN,6,OK,18
1772697378260,JOIN,36,OK,7
1772697378288,JOIN,7,OK,20
1772697378296,JOIN,0,OK,14
1772697378288,JOIN,8,OK,11
1772697378260,JOIN,36,OK,1
1772697378289,JOIN,7,OK,14
1772697378288,JOIN,8,OK,13
1772697378290,JOIN,6,OK,2
1772697378288,JOIN,8,OK,17
1772697378260,JOIN,36,OK,10
1772697378288,JOIN,8,OK,2
1772697378277,JOIN,19,OK,18
1772697378290,JOIN,8,OK,11
1772697378296,JOIN,1,OK,19
1772697378292,JOIN,5,OK,17
1772697378292,JOIN,6,OK,9
1772697378292,JOIN,6,OK,3
1772697378290,JOIN,8,OK,2
1772697378259,JOIN,39,OK,16
1772697378252,JOIN,46,OK,17
1772697378295,JOIN,3,OK,20
1772697378295,JOIN,3,OK,9
1772697378295,JOIN,3,OK,1
1772697378290,JOIN,8,OK,3
1772697378295,JOIN,3,OK,10
1772697378296,JOIN,3,OK,8
1772697378298,JOIN,2,OK,16
1772697378274,JOIN,27,OK,14
1772697378269,JOIN,31,OK,6
1772697378296,JOIN,9,OK,3
1772697378296,JOIN,9,OK,18
1772697378269,JOIN,36,OK,14
1772697378288,JOIN,17,OK,18
1772697378296,JOIN,9,OK,6
1772697378295,JOIN,10,OK,13
1772697378296,JOIN,9,OK,8
1772697378296,JOIN,10,OK,20
1772697378301,JOIN,5,OK,4
1772697378296,JOIN,9,OK,4
1772697378268,JOIN,37,OK,16
1772697378299,JOIN,7,OK,12
1772697378296,JOIN,9,OK,14
1772697378297,JOIN,9,OK,13
1772697378296,JOIN,10,OK,8
1772697378269,JOIN,37,OK,7
1772697378269,JOIN,37,OK,1
1772697378296,JOIN,10,OK,1
1772697378298,JOIN,7,OK,17
1772697378298,JOIN,7,OK,20
1772697378298,JOIN,7,OK,10
1772697378283,JOIN,23,OK,18
1772697378269,JOIN,37,OK,12
1772697378297,JOIN,9,OK,3
1772697378283,JOIN,23,OK,16
1772697378298,JOIN,7,OK,7
1772697378296,JOIN,10,OK,12
1772697378306,JOIN,0,OK,15
1772697378306,JOIN,0,OK,19
1772697378298,JOIN,7,OK,11
1772697378306,JOIN,0,OK,11
1772697378306,JOIN,0,OK,12
1772697378306,JOIN,0,OK,9
1772697378283,JOIN,23,OK,15
1772697378289,JOIN,17,OK,20
1772697378299,JOIN,8,OK,19
1772697378260,JOIN,46,OK,13
1772697378297,JOIN,9,OK,2
1772697378274,JOIN,32,OK,7
1772697378260,JOIN,46,OK,3
1772697378306,JOIN,0,OK,20
1772697378288,JOIN,18,OK,4
1772697378306,JOIN,1,OK,2
1772697378269,JOIN,37,OK,9
1772697378306,JOIN,0,OK,18
1772697378306,JOIN,3,OK,8
1772697378307,JOIN,3,OK,8
1772697378297,JOIN,13,OK,8
1772697378275,JOIN,34,OK,17
1772697378306,JOIN,3,OK,10
1772697378307,JOIN,3,OK,17
1772697378275,JOIN,34,OK,4
1772697378307,JOIN,3,OK,8
1772697378274,JOIN,36,OK,13
1772697378288,JOIN,22,OK,12
1772697378306,JOIN,4,OK,4
1772697378299,JOIN,11,OK,16
1772697378307,JOIN,3,OK,6
1772697378288,JOIN,22,OK,4
1772697378306,JOIN,4,OK,13
1772697378301,JOIN,9,OK,19
1772697378305,JOIN,5,OK,20
1772697378306,JOIN,4,OK,10
1772697378297,JOIN,14,OK,20
1772697378306,JOIN,4,OK,9
1772697378307,JOIN,4,OK,17
1772697378311,JOIN,0,OK,2
1772697378306,JOIN,4,OK,9
1772697378306,JOIN,5,OK,7
1772697378305,JOIN,5,OK,18
1772697378306,JOIN,4,OK,10
1772697378274,JOIN,37,OK,20
1772697378296,JOIN,15,OK,14
1772697378307,JOIN,4,OK,8
1772697378306,JOIN,4,OK,9
1772697378307,JOIN,4,OK,20
1772697378306,JOIN,4,OK,11
1772697378297,JOIN,14,OK,4
1772697378288,JOIN,23,OK,4
1772697378288,JOIN,23,OK,19
1772697378274,JOIN,37,OK,6
1772697378307,JOIN,4,OK,17
1772697378307,JOIN,4,OK,11
1772697378280,JOIN,32,OK,17
1772697378311,JOIN,1,OK,4
1772697378296,JOIN,22,OK,10
1772697378311,JOIN,8,OK,8
1772697378311,JOIN,7,OK,3
1772697378311,JOIN,7,OK,12
1772697378310,JOIN,8,OK,18
1772697378296,JOIN,23,OK,13
1772697378310,JOIN,8,OK,12
1772697378296,JOIN,23,OK,17
1772697378297,JOIN,22,OK,5
1772697378311,JOIN,8,OK,15
1772697378310,JOIN,8,OK,12
1772697378311,JOIN,7,OK,4
1772697378310,JOIN,8,OK,9
1772697378311,JOIN,8,OK,14
1772697378311,JOIN,8,OK,2
1772697378311,JOIN,8,OK,12
1772697378311,JOIN,9,OK,6
1772697378307,JOIN,13,OK,1
1772697378311,JOIN,9,OK,11
1772697378310,JOIN,10,OK,4
1772697378311,JOIN,9,OK,4
1772697378310,JOIN,9,OK,1
1772697378296,JOIN,24,OK,9
1772697378310,JOIN,13,OK,14
1772697378319,JOIN,5,OK,10
1772697378306,JOIN,18,OK,13
1772697378319,JOIN,5,OK,1
1772697378311,JOIN,13,OK,4
1772697378319,JOIN,5,OK,9
1772697378311,JOIN,21,OK,9
1772697378311,JOIN,21,OK,11
1772697378324,JOIN,7,OK,8
1772697378311,JOIN,21,OK,19
1772697378324,JOIN,8,OK,4
1772697378324,JOIN,8,OK,16
1772697378324,JOIN,8,OK,8
1772697378310,JOIN,22,OK,8
1772697378319,JOIN,13,OK,20
1772697378319,JOIN,13,OK,2
1772697378319,JOIN,13,OK,17
1772697378319,JOIN,13,OK,17
1772697378319,JOIN,13,OK,11
1772697378306,JOIN,26,OK,13
1772697378306,JOIN,27,OK,18
1772697378313,JOIN,19,OK,20
1772697378313,JOIN,19,OK,9
1772697378311,JOIN,21,OK,10
1772697378319,JOIN,13,OK,12
1772697378310,JOIN,22,OK,6
1772697378320,JOIN,12,OK,19
1772697378310,JOIN,22,OK,19
1772697378311,JOIN,21,OK,7
1772697378299,JOIN,34,OK,17
1772697378307,JOIN,25,OK,19
1772697378299,JOIN,34,OK,16
1772697378310,JOIN,22,OK,17
1772697378310,JOIN,22,OK,18
1772697378310,JOIN,22,OK,8
1772697378311,JOIN,21,OK,3
1772697378319,JOIN,14,OK,1
1772697378319,JOIN,14,OK,9
1772697378310,JOIN,22,OK,10
1772697378333,JOIN,0,OK,18
1772697378333,JOIN,0,OK,14
1772697378306,JOIN,26,OK,9
1772697378306,JOIN,26,OK,4
1772697378319,JOIN,13,OK,14
1772697378332,JOIN,0,OK,15
1772697378333,JOIN,0,OK,12
1772697378306,JOIN,27,OK,20
1772697378333,JOIN,0,OK,11
1772697378333,JOIN,0,OK,5
1772697378306,JOIN,26,OK,12
1772697378310,JOIN,22,OK,1
1772697378333,JOIN,0,OK,18
1772697378332,JOIN,0,OK,12
1772697378311,JOIN,22,OK,20
1772697378306,JOIN,26,OK,6
1772697378306,JOIN,27,OK,13
1772697378333,JOIN,0,OK,11
1772697378333,JOIN,0,OK,17
1772697378333,JOIN,0,OK,6
1772697378333,JOIN,0,OK,11
1772697378320,JOIN,13,OK,12
1772697378320,JOIN,13,OK,19
1772697378333,JOIN,0,OK,7
1772697378333,JOIN,0,OK,7
1772697378333,JOIN,0,OK,15
1772697378333,JOIN,0,OK,17
1772697378333,JOIN,0,OK,19
1772697378333,JOIN,0,OK,5
1772697378333,JOIN,1,OK,17
1772697378310,JOIN,23,OK,6
1772697378306,JOIN,27,OK,1
1772697378310,JOIN,23,OK,8
1772697378333,JOIN,0,OK,12
1772697378306,JOIN,27,OK,10
1772697378333,JOIN,0,OK,16
1772697378333,JOIN,0,OK,8
1772697378333,JOIN,0,OK,20
1772697378307,JOIN,27,OK,17
1772697378333,JOIN,1,OK,16
1772697378333,JOIN,0,OK,20
1772697378334,JOIN,0,OK,7
1772697378334,JOIN,0,OK,10
1772697378333,JOIN,0,OK,18
1772697378334,JOIN,0,OK,17
1772697378333,JOIN,3,OK,8
1772697378332,JOIN,3,OK,11
1772697378334,JOIN,2,OK,19
1772697378334,JOIN,2,OK,20
1772697378334,JOIN,2,OK,10
1772697378307,JOIN,29,OK,12
1772697378333,JOIN,2,OK,19
1772697378333,JOIN,2,OK,8
1772697378332,JOIN,3,OK,7
1772697378332,JOIN,3,OK,7
1772697378334,JOIN,2,OK,8
1772697378333,JOIN,2,OK,18
1772697378332,JOIN,3,OK,12
1772697378333,JOIN,2,OK,2
1772697378299,JOIN,37,OK,12
1772697378333,JOIN,3,OK,1
1772697378334,JOIN,2,OK,3
1772697378334,JOIN,2,OK,20
1772697378333,JOIN,2,OK,14
1772697378333,JOIN,3,OK,18
1772697378333,JOIN,2,OK,11
1772697378333,JOIN,3,OK,1
1772697378334,JOIN,2,OK,2
1772697378324,JOIN,13,OK,18
1772697378336,JOIN,1,OK,18
1772697378334,JOIN,3,OK,12
1772697378334,JOIN,3,OK,7
1772697378336,JOIN,1,OK,3
1772697378336,JOIN,1,OK,14
1772697378336,JOIN,1,OK,18
1772697378299,JOIN,39,OK,19
1772697378336,JOIN,1,OK,13
1772697378336,JOIN,1,OK,9
1772697378336,JOIN,1,OK,12
1772697378334,JOIN,4,OK,16
1772697378333,JOIN,4,OK,4
1772697378333,JOIN,4,OK,9
1772697378336,JOIN,1,OK,13
1772697378336,JOIN,8,OK,9
1772697378336,JOIN,8,OK,14
1772697378301,JOIN,44,OK,16
1772697378336,JOIN,8,OK,20
1772697378333,JOIN,11,OK,12
1772697378333,JOIN,11,OK,12
1772697378334,JOIN,10,OK,15
1772697378332,JOIN,12,OK,5
1772697378334,JOIN,11,OK,1
1772697378333,JOIN,11,OK,3
1772697378338,JOIN,7,OK,7
1772697378333,JOIN,11,OK,6
1772697378336,JOIN,8,OK,7
1772697378333,JOIN,12,OK,8
1772697378333,JOIN,12,OK,8
1772697378336,JOIN,8,OK,10
1772697378334,JOIN,11,OK,6
1772697378319,JOIN,25,OK,10
1772697378319,JOIN,25,OK,4
1772697378334,JOIN,11,OK,17
1772697378332,JOIN,12,OK,17
1772697378334,JOIN,11,OK,2
1772697378334,JOIN,11,OK,19
1772697378333,JOIN,11,OK,13
1772697378320,JOIN,24,OK,15
1772697378334,JOIN,11,OK,16
1772697378333,JOIN,12,OK,20
1772697378319,JOIN,26,OK,19
1772697378333,JOIN,12,OK,19
1772697378336,JOIN,9,OK,13
1772697378333,JOIN,11,OK,12
1772697378319,JOIN,26,OK,7
1772697378334,JOIN,11,OK,13
1772697378334,JOIN,11,OK,1
1772697378338,JOIN,7,OK,6
1772697378336,JOIN,8,OK,18
1772697378338,JOIN,7,OK,11
