bucketStartMillis,count,throughputMsgPerSec
1772695610000,14417,1441.7
1772695620000,13316,1331.6
1772695630000,11395,1139.5
1772695640000,9040,904.0
1772695650000,7508,750.8
1772695660000,6846,684.6
1772695670000,5569,556.9
1772695680000,6548,654.8
1772695690000,8152,815.2
1772695700000,8424,842.4
1772695710000,8680,868.0
1772695720000,8977,897.7
1772695730000,7742,774.2
1772695740000,7045,704.5
1772695750000,8291,829.1
1772695760000,7257,725.7
1772695770000,8013,801.3
1772695780000,8492,849.2
1772695790000,8115,811.5
1772695800000,5061,506.1
1772695810000,8178,817.8
1772695820000,8296,829.6
1772695830000,8028,802.8
1772695840000,8470,847.0
1772695850000,8237,823.7
1772695860000,6930,693.0
1772695870000,8407,840.7
1772695880000,8029,802.9
1772695890000,8152,815.2
1772695900000,8628,862.8
1772695910000,721,72.1
1772695930000,3316,331.6
1772695940000,10722,1072.2
1772695950000,10794,1079.4
1772695960000,10237,1023.7
1772695970000,9723,972.3
1772695980000,7063,706.3
1772695990000,6995,699.5
1772696000000,7340,734.0
1772696010000,7952,795.2
1772696020000,8941,894.1
1772696030000,7619,761.9
1772696040000,8306,830.6
1772696050000,8039,803.9
1772696060000,7526,752.6
1772696070000,7548,754.8
1772696080000,8192,819.2
1772696090000,7899,789.9
1772696100000,6470,647.0
1772696110000,8248,824.8
1772696120000,8439,843.9
1772696130000,8124,812.4
1772696140000,8591,859.1
1772696150000,8167,816.7
1772696160000,6759,675.9
1772696170000,8297,829.7
1772696180000,8402,840.2
1772696190000,7521,752.1
1772696200000,8579,857.9
1772696210000,8388,838.8
1772696220000,7098,709.8
1772696230000,7741,774.1
