bucketStartMillis,count,throughputMsgPerSec
1773968470000,44051,4405.1
1773968480000,38061,3806.1
1773968490000,37958,3795.8
1773968500000,29376,2937.6
1773968510000,16016,1601.6
1773968520000,9353,935.3
1773968530000,9309,930.9
1773968540000,11823,1182.3
1773968550000,11006,1100.6
1773968560000,12681,1268.1
1773968570000,10441,1044.1
1773968580000,17106,1710.6
1773968590000,16024,1602.4
1773968600000,27447,2744.7
1773968610000,15383,1538.3
1773968620000,12538,1253.8
1773968630000,6878,687.8
1773968640000,8133,813.3
1773968650000,24168,2416.8
1773968660000,13687,1368.7
1773968670000,23949,2394.9
1773968680000,11229,1122.9
1773968690000,11830,1183.0
1773968700000,10505,1050.5
1773968710000,9120,912.0
1773968720000,28263,2826.3
1773968730000,29854,2985.4
1773968740000,3777,377.7
1773968750000,3,0.3
1773968760000,13,1.3
