bucketStartMillis,count,throughputMsgPerSec
1772689920000,18040,1804.0
1772689930000,12380,1238.0
1772689940000,9844,984.4
1772689950000,8297,829.7
1772689960000,7274,727.4
1772689970000,6761,676.1
1772689980000,5999,599.9
1772689990000,7552,755.2
1772690000000,8122,812.2
1772690010000,8164,816.4
1772690020000,8077,807.7
1772690030000,8372,837.2
1772690040000,7335,733.5
1772690050000,7400,740.0
1772690060000,7975,797.5
1772690070000,7746,774.6
1772690080000,7468,746.8
1772690090000,7997,799.7
1772690100000,7518,751.8
1772690110000,7716,771.6
1772690120000,7954,795.4
1772690130000,7987,798.7
1772690140000,7683,768.3
1772690150000,8158,815.8
1772690160000,7309,730.9
1772690170000,7631,763.1
1772690180000,8049,804.9
1772690190000,8046,804.6
1772690200000,7719,771.9
1772690210000,7876,787.6
1772690220000,7506,750.6
1772690230000,7671,767.1
1772690240000,7952,795.2
1772690250000,7842,784.2
1772690260000,7854,785.4
1772690270000,8121,812.1
1772690280000,7478,747.8
1772690290000,7747,774.7
1772690300000,8025,802.5
1772690310000,7769,776.9
1772690320000,7728,772.8
1772690330000,8065,806.5
1772690340000,7748,774.8
1772690350000,7595,759.5
1772690360000,8214,821.4
1772690370000,7661,766.1
1772690380000,7783,778.3
1772690390000,7768,776.8
1772690400000,7066,706.6
1772690410000,7489,748.9
1772690420000,7846,784.6
1772690430000,7857,785.7
1772690440000,7938,793.8
1772690450000,7943,794.3
1772690460000,7348,734.8
1772690470000,7852,785.2
1772690480000,7700,770.0
1772690490000,7914,791.4
1772690500000,7755,775.5
1772690510000,7932,793.2
1772690520000,7669,766.9
1772690530000,7636,763.6
1772690540000,3079,307.9
