bucketStartMillis,count,throughputMsgPerSec
1772740200000,19203,1920.3
1772740210000,13654,1365.4
1772740220000,10602,1060.2
1772740230000,8233,823.3
1772740240000,7851,785.1
1772740250000,5631,563.1
1772740260000,5534,553.4
1772740270000,7822,782.2
1772740280000,8481,848.1
1772740290000,9075,907.5
1772740300000,9047,904.7
1772740310000,7432,743.2
1772740320000,7233,723.3
1772740330000,7320,732.0
1772740340000,8251,825.1
1772740350000,8643,864.3
1772740360000,7878,787.8
1772740370000,9198,919.8
1772740380000,7718,771.8
1772740390000,7804,780.4
1772740400000,7867,786.7
1772740410000,8631,863.1
1772740420000,7051,705.1
1772740430000,8398,839.8
1772740440000,7101,710.1
1772740450000,7909,790.9
1772740460000,8764,876.4
1772740470000,9230,923.0
1772740480000,8353,835.3
1772740490000,6507,650.7
1772740500000,7350,735.0
1772740510000,8508,850.8
1772740520000,7425,742.5
1772740530000,8591,859.1
1772740540000,7771,777.1
1772740550000,8466,846.6
1772740560000,7670,767.0
1772740570000,8656,865.6
1772740580000,7212,721.2
1772740590000,8367,836.7
1772740600000,8552,855.2
1772740610000,7827,782.7
1772740620000,6835,683.5
1772740630000,7812,781.2
1772740640000,8627,862.7
1772740650000,8260,826.0
1772740660000,8111,811.1
1772740670000,8802,880.2
1772740680000,8037,803.7
1772740690000,7216,721.6
1772740700000,8760,876.0
1772740710000,8853,885.3
1772740720000,8780,878.0
1772740730000,8645,864.5
1772740740000,6476,647.6
1772740750000,9226,922.6
1772740760000,8405,840.5
1772740770000,7468,746.8
1772740780000,9483,948.3
1772740790000,5800,580.0
1772740800000,1580,158.0
1772740810000,4,0.4
1772740820000,4,0.4
